hsa-miR-144,hsa-miR-215,hsa-miR-224,hsa-miR-139,hsa-miR-584,hsa-miR-7-3
26927.0,51198.0,46383.0,26695.0,49196.0,19008.0
26537.0,50980.0,38243.0,22051.0,68593.0,17078.0
1014.0,1499.0,1909.0,1448.0,2504.0,1215.0
20658.0,21048.0,25267.0,10699.0,8240.0,10883.0
16402.0,14741.0,20716.0,9639.0,5440.0,5145.0
18963.0,17968.0,40201.0,9478.0,14328.0,13665.0
8692.0,5638.0,10534.0,3941.0,2974.0,5232.0
1061.0,435.0,837.0,873.0,1786.0,868.0
77602.0,100256.0,85963.0,109893.0,48732.0,48264.0
4142.0,6028.0,5021.0,3240.0,2754.0,3865.0
1117.0,649.0,3105.0,379.0,606.0,871.0
32115.0,28753.0,59766.0,13622.0,7315.0,11022.0
2363.0,671.0,472.0,94.0,122.0,272.0
3675.0,1640.0,1462.0,3139.0,2167.0,3428.0
718624.0,760756.0,463035.0,288306.0,139623.0,240961.0
64710.0,73456.0,90935.0,32959.0,32052.0,46333.0
4358.0,2929.0,6928.0,7838.0,17319.0,11687.0
1016.0,371.0,791.0,826.0,1535.0,1151.0
2146.0,958.0,927.0,1724.0,1299.0,1919.0
855621.0,691545.0,773177.0,446461.0,299022.0,394830.0
1200.0,947.0,1828.0,1096.0,1554.0,1960.0
16465.0,19037.0,23312.0,12606.0,16705.0,15596.0
229956.0,286094.0,275142.0,157773.0,118285.0,188459.0
1197.0,1505.0,2026.0,393.0,794.0,761.0
6154.0,7992.0,13823.0,2072.0,3449.0,4305.0
11860.0,16550.0,15901.0,6327.0,9755.0,9054.0
2125.0,1370.0,3279.0,993.0,933.0,2396.0
12257.0,8263.0,11023.0,4651.0,4369.0,5365.0
2264.0,2186.0,2435.0,1439.0,2479.0,1075.0
7988140.0,3515273.0,3540780.0,3466392.0,1675990.0,1977573.0
23738.0,12861.0,26129.0,9364.0,4409.0,8498.0
54410.0,31168.0,45030.0,7789.0,10378.0,12723.0
10838.0,9738.0,24906.0,4251.0,3495.0,25900.0
4656.0,3278.0,4121.0,1659.0,1639.0,1994.0
2681.0,2449.0,3656.0,1842.0,2257.0,3607.0
6713.0,6444.0,9231.0,3685.0,2350.0,2058.0
266751.0,204349.0,339804.0,156731.0,161782.0,73793.0
1584017.0,1200938.0,1101984.0,2868625.0,2444276.0,828489.0
1097.0,941.0,1424.0,487.0,259.0,250.0
26814.0,30816.0,22681.0,12564.0,15598.0,17120.0
2651.0,2914.0,4926.0,1432.0,1847.0,2797.0
2783.0,5397.0,6117.0,1327.0,3056.0,2599.0
6718.0,19492.0,25331.0,20445.0,32310.0,42320.0
2202.0,4924.0,6039.0,9010.0,8784.0,15240.0
10056.0,3562.0,1764.0,1390.0,546.0,1609.0
20090.0,18512.0,42736.0,8534.0,8055.0,9948.0
5968.0,13698.0,10724.0,3130.0,1330.0,2150.0
6333.0,6475.0,29288.0,2665.0,3719.0,4925.0
130093.0,81381.0,135142.0,77407.0,38918.0,63814.0
68734.0,80477.0,61276.0,35508.0,29841.0,39753.0
